SHAPE_AREA,LATITUDE,SQMI,GEOMETRY,CITY,OBJECTID,ZIPCODE,LONGITUDE,STATE,SHAPE_LENGTH
10912931747.59375,,360.45,,Alberton,20042,59820,,MT,800152.9802670112
4036233615.1972656,,132.88,,Arlee,20043,59821,,MT,420137.9363499536
12804448278.078125,,422.64,,Bonner,20044,59823,,MT,673919.9931493849
69240783.9609375,,2.39,,Schaumburg,20045,60195,,IL,73768.7389825597
130723049.015625,,4.51,,Evanston,20046,60201,,IL,71703.22445682206
90677565.25,,3.13,,Evanston,20047,60202,,IL,42233.477688557316
19582293.25,,0.68,,Evanston,20048,60203,,IL,23003.811158179342
7536211.0859375,,0.26,,Evanston,20049,60208,,IL,22975.57139818501
4471059.3359375,,0.15,,Oak Park,20050,60301,,IL,10253.669207554478
86231326.4140625,,2.98,,Oak Park,20051,60302,,IL,46082.36558737895
45151537.140625,,1.56,,Oak Park,20052,60304,,IL,27561.961963019072
70880731.859375,,2.45,,River Forest,20053,60305,,IL,36709.95833963548
1667561445.515625,,57.84,,Beecher,20054,60401,,IL,218495.12755936044
186492955.390625,,6.45,,Berwyn,20055,60402,,IL,83972.11425033941
140356149.390625,,4.86,,Crest Hill,20056,60403,,IL,117860.67783852399
434051215.1171875,,15.040000000000001,,Shorewood,20057,60404,,IL,123142.9563702456
164977777.1953125,,5.71,,Blue Island,20058,60406,,IL,104076.88572116493
355165856.8515625,,12.32,,Braceville,20059,60407,,IL,92633.19059746733
455545321.5,,15.81,,Braidwood,20060,60408,,IL,133590.33384636865
222787117.578125,,7.71,,Calumet City,20061,60409,,IL,94692.9582952619
979797045.234375,,33.96,,Channahon,20062,60410,,IL,201592.6322583935
928898750.1484375,,32.18,,Chicago Heights,20063,60411,,IL,191391.33724391277
61531096.3984375,,2.13,,Chicago Ridge,20064,60415,,IL,51853.646577484295
931831385.0390625,,32.08,,Dakota,20065,61018,,IL,196207.57277490245
969649440.2734375,,33.37,,Davis,20066,61019,,IL,187745.1840508835
907154799.0546875,,31.29,,Davis Junction,20067,61020,,IL,182401.4053755444
4466951198.6875,,154.41,,Dixon,20068,61021,,IL,429648.76524026255
1901254323.8515625,,65.42,,Durand,20069,61024,,IL,238542.52814205244
1077560747.4765625,,37.07,,East Dubuque,20070,61025,,IL,188514.1950428744
2965733355.0234375,,102.17,,Elizabeth,20071,61028,,IL,418317.5947498445
1823079776.84375,,62.88,,Forreston,20072,61030,,IL,241886.83360782606
1613382546.7734375,,55.76,,Franklin Grove,20073,61031,,IL,265525.43490219733
4290260496.5625,,147.77,,Freeport,20074,61032,,IL,432927.5649925511
3366523218.9609375,,115.86,,Galena,20075,61036,,IL,371476.4705927591
1066936565.546875,,37.08,,Little York,20076,61453,,IL,222614.91705827002
1852945467.5195312,,64.54,,Lomax,20077,61454,,IL,207642.35071372616
4465204271.808594,,155.76,,Macomb,20078,61455,,IL,465292.45941094524
2244409528.6796875,,78.14,,Maquon,20079,61458,,IL,306148.8738246718
978385327.6953125,,34.11,,Marietta,20080,61459,,IL,170798.82315737242
1045704894.65625,,36.4,,Media,20081,61460,,IL,129362.7473434022
3939048670.7226562,,137.02,,Monmouth,20082,61462,,IL,480151.06956223905
1163632469.921875,,40.39,,New Windsor,20083,61465,,IL,188416.08512343373
617197513.90625,,21.44,,North Henderson,20084,61466,,IL,128404.17486412084
1862421684.78125,,64.71000000000001,,Oneida,20085,61467,,IL,271857.1609523732
28646536.03125,,1,,Ophiem,20086,61468,,IL,25781.000935288455
1865579894.890625,,64.88,,Oquawka,20087,61469,,IL,216181.5148810761
515325267.4609375,,17.96,,Prairie City,20088,61470,,IL,96675.42783690433
976920524.3789062,,34.03,,Raritan,20089,61471,,IL,125134.25045646999
1174428929.40625,,40.79,,Rio,20090,61472,,IL,156468.60303347898
2791865122.1835938,,97.24000000000001,,Roseville,20091,61473,,IL,354350.56894967944
587461836.7578125,,20.45,,Saint Augustine,20092,61474,,IL,115060.69780293893
2694248664.486328,,88.47,,Charlo,20093,59824,,MT,329575.4414920956
8497070177.205078,,281.23,,Clinton,20094,59825,,MT,793188.7560654617
11550361358.339844,,379.06,,Condon,20095,59826,,MT,717239.9582200669
7034396270.1171875,,235.04,,Conner,20096,59827,,MT,633186.1467711141
4815030832.6484375,,159.99,,Corvallis,20097,59828,,MT,373829.00522388547
20286542549.35742,,677.77,,Darby,20098,59829,,MT,1335374.1067587317
860029393.6816406,,28.240000000000002,,De Borgia,20099,59830,,MT,156143.03809539834
5642818290.359375,,185.6,,Dixon,20100,59831,,MT,558727.5440916908
11800909227.67871,,390.67,,Drummond,20101,59832,,MT,806097.7556733781
5882328757.699219,,194.79,,Florence,20102,59833,,MT,523838.19272147026
1520118306.3691406,,50.11,,Frenchtown,20103,59834,,MT,245884.32258413834
3773537046.364258,,125.13000000000001,,Hall,20104,59837,,MT,390985.4253974907
16367742928.126953,,544.79,,Hamilton,20105,59840,,MT,941940.6693781291
28681801.74609375,,0.95,,Pinesdale,20106,59841,,MT,27279.842446202325
52044468.08203125,,1.71,,Haugan,20107,59842,,MT,51826.395929770326
11069236499.578125,,365.77,,Helmville,20108,59843,,MT,696003.0731367613
2922279230.1816406,,95.27,,Heron,20109,59844,,MT,321670.84526609886
10327226785.857422,,338.13,,Hot Springs,20110,59845,,MT,1166732.8763853852
5619652157.365234,,185.11,,Huson,20111,59846,,MT,502850.8855538577
7753586009.449219,,256.49,,Lolo,20112,59847,,MT,639986.0102350967
622943635.1328125,,21.6,,Coal City,20113,60416,,IL,144810.37039371015
1029272596.515625,,35.68,,Crete,20114,60417,,IL,215133.0991394207
81273394.0546875,,2.81,,Crestwood,20115,60418,,IL,52902.51307359531
129322698.28125,,4.47,,Dolton,20116,60419,,IL,81036.4573602245
2976050622.7265625,,103.37,,Dwight,20117,60420,,IL,320258.23028225603
981585370.8359375,,34.01,,Elwood,20118,60421,,IL,228183.7383287836
112058931.7578125,,3.88,,Flossmoor,20119,60422,,IL,69491.5072451243
1104637162.375,,38.27,,Frankfort,20120,60423,,IL,191503.08147124024
1611152191.7109375,,55.94,,Gardner,20121,60424,,IL,234485.9434659489
117858975.203125,,4.09,,Glenwood,20122,60425,,IL,67484.59223799927
221354402.703125,,7.66,,Harvey,20123,60426,,IL,93504.11896428256
159852410.1328125,,5.53,,Markham,20124,60428,,IL,72422.61620847377
125073084.9140625,,4.33,,Hazel Crest,20125,60429,,IL,78546.97526523776
196255537.6484375,,6.8,,Homewood,20126,60430,,IL,107779.92609938391
418610835.90625,,14.5,,Joliet,20127,60431,,IL,228028.1971128896
222151774.4375,,7.69,,Joliet,20128,60432,,IL,76606.34976370516
425044721.6796875,,14.73,,Joliet,20129,60433,,IL,127750.84354706736
1261130377.3203125,,43.47,,Garden Prairie,20130,61038,,IL,283487.030188956
797810558.796875,,27.5,,German Valley,20131,61039,,IL,156673.54090708666
1607004703.7578125,,55.36,,Hanover,20132,61041,,IL,298555.05540133227
1785026681.046875,,61.76,,Harmon,20133,61042,,IL,265275.9733975773
3985240,,0.14,,Holcomb,20134,61043,,IL,9066.435263330914
308371555.46875,,10.620000000000001,,Kent,20135,61044,,IL,94751.13244953493
2344418645.734375,,80.87,,Lanark,20136,61046,,IL,319888.7873522971
1808913705.0625,,62.370000000000005,,Leaf River,20137,61047,,IL,259427.73308441121
2382639664.3125,,82.03,,Lena,20138,61048,,IL,250699.93672573994
519567473.921875,,17.94,,Lindenwood,20139,61049,,IL,116309.02693647587
401135414.5546875,,13.8,,Mc Connell,20140,61050,,IL,147393.74379662954
1372534630.4609375,,47.39,,Milledgeville,20141,61051,,IL,224265.1222499439
967068916.3828125,,33.7,,Sciota,20142,61475,,IL,157347.1591473171
2084074446.4414062,,72.41,,Seaton,20143,61476,,IL,258593.1650057433
1158114115.734375,,40.39,,Smithfield,20144,61477,,IL,247227.57484672812
1060096809.09375,,36.9,,Smithshire,20145,61478,,IL,175566.72309837744
1509317515.671875,,52.46,,Speer,20146,61479,,IL,238584.0467246101
1031405127.6679688,,35.9,,Stronghurst,20147,61480,,IL,128551.40747767518
1460557459.0976562,,50.97,,Table Grove,20148,61482,,IL,219416.34431333482
2764152570.75,,96.03,,Toulon,20149,61483,,IL,330679.7783178483
1209816845.4335938,,42.230000000000004,,Vermont,20150,61484,,IL,191558.82168764385
1368479148.7734375,,47.57,,Victoria,20151,61485,,IL,244621.97364313094
1162421480.8515625,,40.37,,Viola,20152,61486,,IL,198500.50918773137
587378189.3359375,,20.42,,Wataga,20153,61488,,IL,173669.9816929247
1200802038.125,,41.76,,Williamsfield,20154,61489,,IL,217649.92450536866
1057266311.28125,,36.71,,Woodhull,20155,61490,,IL,161436.54635370176
429955454.2207031,,14.07,,Lonepine,20156,59848,,MT,191304.30336721716
2936938.291015625,,0.1,,Milltown,20157,59851,,MT,10046.363914174068
7951308451.955078,,259.07,,Noxon,20158,59853,,MT,475684.8293715564
